BOY-0,6,6,36,3,null,single,Miser
BOY-1,4,5,187,4,null,single,Geek
BOY-2,6,3,46,2,null,single,Generous
BOY-3,7,4,278,6,null,single,Geek
BOY-4,0,6,461,0,null,single,Generous
BOY-5,9,0,331,0,null,single,Geek
BOY-6,9,4,105,7,null,single,Geek
BOY-7,7,6,273,0,null,single,Generous
BOY-8,4,4,465,4,null,single,Generous
BOY-9,6,7,349,0,null,single,Geek
BOY-10,6,0,49,4,null,single,Miser
BOY-11,0,5,104,3,null,single,Geek
BOY-12,9,4,269,0,null,single,Generous
BOY-13,0,1,144,5,null,single,Generous
BOY-14,1,6,56,0,null,single,Generous
