Luxury,17,19
Essential,8,5
Essential,15,10
Essential,7,15
Utility,13,2
Utility,16,4
Luxury,4,10
Utility,2,11
Utility,16,5
Utility,7,18
Utility,12,19
Luxury,6,5
Utility,14,12
Utility,14,8
Essential,10,6
Luxury,3,5
Utility,14,13
Luxury,15,16
Essential,17,7
Luxury,15,14
Essential,18,5
Utility,7,18
Essential,15,4
Essential,8,8
Utility,9,16
Essential,19,9
Utility,15,0
Utility,13,18
Essential,14,16
Luxury,7,19
Utility,6,6
Essential,12,2
Luxury,7,3
Essential,5,7
Luxury,17,3
Essential,6,4
Essential,10,11
Essential,10,16
Luxury,16,10
Utility,9,12
Essential,4,19
Essential,4,4
Essential,3,8
Essential,13,11
Luxury,15,8
Utility,5,0
Essential,0,9
Essential,5,7
Luxury,17,14
Utility,8,15
