BOY-0,8,8,4,6,null,single,Generous
BOY-1,3,6,49,3,null,single,Miser
BOY-2,0,0,165,4,null,single,Generous
BOY-3,9,8,445,2,null,single,Generous
BOY-4,3,9,385,0,null,single,Generous
BOY-5,3,5,340,5,null,single,Geek
BOY-6,1,1,267,0,null,single,Generous
BOY-7,7,1,246,9,null,single,Geek
BOY-8,7,9,19,0,null,single,Geek
BOY-9,4,3,460,9,null,single,Generous
BOY-10,5,5,15,7,null,single,Generous
BOY-11,3,7,18,7,null,single,Miser
BOY-12,2,0,306,7,null,single,Geek
BOY-13,2,9,144,4,null,single,Miser
BOY-14,6,1,161,8,null,single,Miser
