BOY-0,3,4,50,8,null,single,Generous
BOY-1,0,5,247,4,null,single,Geek
BOY-2,6,4,118,8,null,single,Miser
BOY-3,6,0,52,5,null,single,Geek
BOY-4,1,3,18,8,null,single,Geek
BOY-5,8,4,270,9,null,single,Geek
BOY-6,8,9,143,5,null,single,Generous
BOY-7,2,0,207,4,null,single,Miser
BOY-8,4,6,365,4,null,single,Generous
BOY-9,1,5,230,8,null,single,Miser
BOY-10,4,4,193,9,null,single,Geek
BOY-11,8,0,422,9,null,single,Generous
BOY-12,9,0,439,7,null,single,Generous
BOY-13,8,2,285,2,null,single,Geek
BOY-14,1,5,118,9,null,single,Miser
