BOY-0,8,9,380,9,null,single,Geek
BOY-1,3,7,260,8,null,single,Generous
BOY-2,6,8,470,5,null,single,Geek
BOY-3,9,1,363,4,null,single,Geek
BOY-4,3,4,114,4,null,single,Miser
BOY-5,8,9,20,5,null,single,Generous
BOY-6,5,7,435,5,null,single,Geek
BOY-7,2,5,124,6,null,single,Generous
BOY-8,1,7,92,2,null,single,Generous
BOY-9,7,7,295,3,null,single,Geek
BOY-10,2,7,145,8,null,single,Geek
BOY-11,8,1,144,4,null,single,Generous
BOY-12,8,9,443,8,null,single,Miser
BOY-13,0,1,228,8,null,single,Generous
BOY-14,4,0,218,0,null,single,Generous
