BOY-0,1,9,129,3,null,single,Geek
BOY-1,2,3,483,9,null,single,Geek
BOY-2,3,9,277,3,null,single,Geek
BOY-3,5,1,248,5,null,single,Miser
BOY-4,7,9,111,6,null,single,Miser
BOY-5,2,4,302,4,null,single,Miser
BOY-6,3,0,171,3,null,single,Generous
BOY-7,1,3,337,4,null,single,Generous
BOY-8,0,5,190,1,null,single,Generous
BOY-9,2,9,404,4,null,single,Miser
BOY-10,6,9,433,5,null,single,Generous
BOY-11,8,9,168,8,null,single,Miser
BOY-12,3,2,131,1,null,single,Geek
BOY-13,3,7,56,4,null,single,Geek
BOY-14,7,3,466,4,null,single,Generous
