Essential,11,2
Luxury,6,7
Essential,9,19
Utility,1,12
Essential,19,9
Essential,2,14
Luxury,5,19
Luxury,1,14
Luxury,5,2
Essential,18,6
Luxury,12,12
Essential,16,12
Luxury,5,11
Luxury,8,6
Luxury,8,4
Essential,14,6
Essential,5,5
Luxury,7,6
Luxury,6,9
Utility,13,4
Luxury,12,5
Essential,15,19
Luxury,18,0
Luxury,18,8
Utility,3,0
Utility,13,8
Utility,5,5
Luxury,4,18
Essential,17,7
Utility,19,0
Luxury,10,9
Essential,13,6
Luxury,10,8
Utility,7,11
Essential,7,13
Luxury,2,9
Luxury,12,2
Essential,19,0
Essential,11,11
Utility,19,6
Essential,1,16
Luxury,17,9
Essential,16,12
Essential,5,17
Utility,4,2
Essential,12,17
Utility,7,17
Luxury,5,14
Utility,11,8
Essential,19,3
